sentence_id,token_id,semiotic,before,class,after,truth
5,6,PLAIN,Rinehart,ToBeNormalized,р_trans и_trans н_trans х_trans а_trans р_trans т_trans,р_trans а_trans й_trans н_trans х_trans а_trans р_trans т_trans
6,6,PLAIN,Schreckensmusik,ToBeNormalized,ш_trans р_trans е_trans к_trans е_trans н_trans с_trans м_trans а_trans с_trans и_trans к_trans,ш_trans р_trans е_trans к_trans к_trans е_trans н_trans с_trans м_trans у_trans з_trans и_trans к_trans
6,30,PLAIN,Gedicht,ToBeNormalized,д_trans ж_trans е_trans д_trans и_trans ч_trans т_trans,д_trans ж_trans е_trans д_trans ж_trans т_trans
35,13,MEASURE,80 %,ToBeNormalized,восемьдесят процентов,восьмидесяти процентов
37,5,PLAIN,conchiologia,ToBeNormalized,к_trans о_trans н_trans ч_trans а_trans й_trans о_trans л_trans о_trans д_trans ж_trans и_trans я_trans,к_trans о_trans н_trans ч_trans и_trans о_trans л_trans о_trans д_trans ж_trans и_trans я_trans
41,13,ELECTRONIC,POPmarket.ruВИНТАЖ/,ToBeNormalized,п_trans о_trans п_trans м_trans а_trans р_trans к_trans е_trans т_trans точка р_trans у_trans д_trans и к_trans косая черта,п_trans о_trans п_trans м_trans а_trans р_trans к_trans е_trans т_trans точка ру в и н т а ж косая черта
50,1,MEASURE,4 т.,ToBeNormalized,четыре тонны,четырех тоннах
55,1,LETTERS,уезжс,RemainSelf,уезжс,у е з ж с
59,4,PLAIN,Bjelosevac,ToBeNormalized,б_trans ж_trans е_trans л_trans о_trans с_trans е_trans в_trans а_trans к_trans,б_trans ж_trans е_trans л_trans о_trans з_trans в_trans а_trans к_trans
91,1,PLAIN,bicincta,ToBeNormalized,б_trans и_trans с_trans и_trans н_trans к_trans т_trans а_trans,б_trans и_trans ц_trans и_trans н_trans ц_trans т_trans а_trans
91,3,PLAIN,Kuster,ToBeNormalized,к_trans у_trans с_trans т_trans е_trans р_trans,к_trans а_trans с_trans т_trans е_trans р_trans
101,1,PLAIN,pontocircassica,ToBeNormalized,п_trans о_trans н_trans т_trans о_trans с_trans и_trans р_trans к_trans а_trans с_trans с_trans и_trans к_trans а_trans,п_trans о_trans н_trans т_trans с_trans е_trans р_trans к_trans а_trans с_trans с_trans и_trans к_trans а_trans
105,18,CARDINAL,39,ToBeNormalized,тридцати девяти,тридцать девять
117,0,ELECTRONIC,Cfcnet.co.uk,ToBeNormalized,c f c n точка т_trans точка к_trans о_trans точка u k,к_trans ф_trans к_trans н_trans е_trans т_trans точка к_trans о_trans точка u k
122,3,PLAIN,Plant,ToBeNormalized,л_trans а_trans н_trans т_trans,п_trans л_trans а_trans н_trans т_trans
126,2,TIME,00:02:43,ToBeNormalized,ноль часов двадцать минут сорок минут,00:02:43
130,9,PLAIN,tworczosci,ToBeNormalized,т_trans в_trans о_trans р_trans к_trans з_trans о_trans с_trans ц_trans и_trans,т_trans в_trans у_trans з_trans о_trans с_trans ц_trans и_trans
130,10,PLAIN,Edwarda,ToBeNormalized,э_trans д_trans в_trans а_trans р_trans д_trans а_trans,э_trans д_trans у_trans а_trans р_trans д_trans а_trans
145,3,PLAIN,Dupin,ToBeNormalized,д_trans а_trans п_trans и_trans н_trans,д_trans ю_trans п_trans и_trans н_trans
