sentence_id,token_id,semiotic,before,class,after,truth
59,0,PLAIN,UPA,ToBeNormalized,u p a,UPA
66,6,PLAIN,SEO,ToBeNormalized,s e o,SEO
68,0,PLAIN,INSIGHT,ToBeNormalized,i n s i g h t,INSIGHT
80,2,PLAIN,WA,ToBeNormalized,w a,WA
80,4,PLAIN,SPIE,ToBeNormalized,s p i e,SPIE
90,0,PLAIN,LiPSA,ToBeNormalized,l i p s a,LiPSA
94,20,PLAIN,ROD,ToBeNormalized,r o d,ROD
100,2,PLAIN,LEGAL,ToBeNormalized,l e g a l,LEGAL
100,3,PLAIN,ASSISTANCE,ToBeNormalized,a s s i s t a n c e,ASSISTANCE
100,4,PLAIN,CENTRE,ToBeNormalized,c e n t r e,center
100,6,PLAIN,LAC,ToBeNormalized,l a c,LAC
156,3,MEASURE,0.001251 g/cm3,ToBeNormalized,zero point o o one two five one sil g per hour,zero point o o one two five one grams per c c
158,5,LETTERS,V,ToBeNormalized,five,V
184,24,PLAIN,doi,ToBeNormalized,d o i,doi
184,28,CARDINAL,14356007,ToBeNormalized,one million four hundred thirty five thousand six hundred seven,fourteen million three hundred fifty six thousand seven
191,3,PLAIN,RENAMO,ToBeNormalized,r e n a m o,RENAMO
205,12,CARDINAL,1572225424,ToBeNormalized,one billion five hundred seventy two million two hundred twenty two thousand four hundred twenty four,one billion five hundred seventy two million two hundred twenty five thousand four hundred twenty four
239,0,LETTERS,Acee,RemainSelf,Acee,a c e e
243,5,PLAIN,GUS,ToBeNormalized,g u s,GUS
253,4,PLAIN,DOS,ToBeNormalized,d o s,DOS
297,8,LETTERS,Vit,RemainSelf,Vit,v i t
303,15,PLAIN,authorisation,ToBeNormalized,t,authorization
309,0,FRACTION,1/0,ToBeNormalized,one meter,one zeroth
316,3,PLAIN,ski,ToBeNormalized,s k i,ski
349,8,PLAIN,Fei,ToBeNormalized,f e i,Fei
366,10,PLAIN,JA,ToBeNormalized,j a,JA
378,10,PLAIN,ser,ToBeNormalized,s e r,ser
455,3,FRACTION,"10/618,543",ToBeNormalized,ten sixteenth sixty one thousand five hundred forty three,ten six hundred eighteen thousand five hundred forty thirds
471,15,PLAIN,Up,ToBeNormalized,u p,Up
473,7,ELECTRONIC,#Selfie,ToBeNormalized,hash tag fourteen,hash tag selfie
490,7,VERBATIM,-,ToBeNormalized,to,-
507,0,PLAIN,BibliographyTranslations,ToBeNormalized,b i b l i o g r a p h y t r a n s,BibliographyTranslations
529,7,PLAIN,EE,ToBeNormalized,e e,EE
550,0,LETTERS,Ligi'ne,RemainSelf,Ligi'ne,l i g i n e
555,2,PLAIN,PROFILES,ToBeNormalized,p r o f i l e s,PROFILES
577,5,PLAIN,GUS,ToBeNormalized,g u s,GUS
593,15,PLAIN,ups,ToBeNormalized,u p s,ups
595,10,PLAIN,ANABlog,ToBeNormalized,a n a b l o g,ANABlog
626,7,PLAIN,ms,ToBeNormalized,m s,ms
627,8,PUNCT,-,ToBeNormalized,to,-
627,12,PUNCT,-,ToBeNormalized,to,-
633,13,PLAIN,ADUM,ToBeNormalized,a d u m,ADUM
636,15,PLAIN,pluralised,ToBeNormalized,popularized,pluralized
637,7,PLAIN,TRADOC,ToBeNormalized,t r a d o c,TRADOC
637,18,PLAIN,CARR,ToBeNormalized,c a r r,CARR
637,19,PLAIN,OPT,ToBeNormalized,o p t,OPT
659,0,PLAIN,MATCH,ToBeNormalized,m a t c h,MATCH
687,0,DIGIT,2007,ToBeNormalized,two thousand seven,two o o seven
694,11,PLAIN,MAR,ToBeNormalized,m a r,MAR
698,1,PLAIN,PIX,ToBeNormalized,p i x,PIX
701,1,PLAIN,WorldwideEastEndersExtrasGrownupsPlanet,ToBeNormalized,w_letter,WorldwideEastEndersExtrasGrownupsPlanet
704,0,PLAIN,Realising,RemainSelf,Realising,realizing
704,13,PLAIN,Crystalliser,RemainSelf,Crystalliser,crystallizer
711,0,PLAIN,LIT,ToBeNormalized,l i t,LIT
721,11,PLAIN,VI,ToBeNormalized,v i,VI
754,2,PLAIN,OCAMPO,ToBeNormalized,o c a m p o,OCAMPO
754,4,PLAIN,FROM,ToBeNormalized,f r o m,FROM
754,10,PLAIN,BUILDS,ToBeNormalized,b u i l d s,BUILDS
754,11,TELEPHONE,3-0 LEAD,ToBeNormalized,three sil o sil l e a d,three sil o sil lead
783,3,PLAIN,OF,ToBeNormalized,o f,OF
784,5,PLAIN,Ngoc,ToBeNormalized,n g o c,Ngoc
799,5,PLAIN,Maj,ToBeNormalized,m a j,Maj
802,10,PLAIN,RAF,ToBeNormalized,r a f,RAF
831,14,PLAIN,Sol,ToBeNormalized,s o l,Sol
846,6,PLAIN,CLIO,ToBeNormalized,c l i o,CLIO
864,1,PLAIN,BEEF,ToBeNormalized,b e e f,BEEF
918,7,PLAIN,ser,ToBeNormalized,s e r,ser
923,13,PLAIN,Lik,ToBeNormalized,l i k,Lik
936,5,PLAIN,CARD,ToBeNormalized,c a r d,CARD
942,1,PLAIN,Am's,ToBeNormalized,a m s's,Am's
942,4,DIGIT,314,ToBeNormalized,three hundred fourteen,three one four
964,18,PLAIN,mrs,ToBeNormalized,mister,mrs
998,6,PLAIN,Aud,ToBeNormalized,a u d,Aud
998,10,PLAIN,odd,ToBeNormalized,o d d,odd
1018,0,PLAIN,Ava,ToBeNormalized,a v a,Ava
1057,13,PLAIN,INRIA,ToBeNormalized,i n r i a,INRIA
1060,3,PLAIN,ASIA,ToBeNormalized,a s i a,ASIA
1071,15,PLAIN,Azo,ToBeNormalized,a z o,Azo
1079,21,PLAIN,BANYU,ToBeNormalized,b a n y u,BANYU
1091,4,LETTERS,Crkva,RemainSelf,Crkva,c r k v a
1092,5,PLAIN,HEW,ToBeNormalized,h e w,HEW
1101,0,PLAIN,CARE,ToBeNormalized,c a r e,CARE
1105,5,PLAIN,I,ToBeNormalized,one,I
